epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.38230419158935547,2.875168800354004,0.001,0.4558381140232086,2.5455105304718018
1,0.5612620115280151,1.819111943244934,0.001,0.7031720280647278,0.8948143124580383
2,0.7121396064758301,1.0565425157546997,0.001,0.7313371896743774,0.8302168250083923
3,0.8558732867240906,0.5189999938011169,0.001,0.9491386413574219,0.17156314849853516
4,0.8948061466217041,0.3879481852054596,0.001,0.9533770680427551,0.1489877998828888
5,0.9394302368164062,0.21506331861019135,0.001,0.6712469458580017,2.433823585510254
6,0.9479072690010071,0.20288370549678802,0.001,0.966160774230957,0.11064258217811584
7,0.9677155017852783,0.11514606326818466,0.001,0.9716981053352356,0.08849529922008514
8,0.9644169807434082,0.13051941990852356,0.001,0.9762783646583557,0.07808928191661835
9,0.9772692918777466,0.08239690214395523,0.001,0.9879682660102844,0.045740898698568344
10,0.9814736247062683,0.07323454320430756,0.001,0.989130437374115,0.03473091870546341
11,0.9806361794471741,0.07573074102401733,0.001,0.9899507761001587,0.030556729063391685
12,0.9841568470001221,0.0653984546661377,0.001,0.9893355369567871,0.03567378968000412
13,0.9882757663726807,0.0446925088763237,0.001,0.9887886047363281,0.03850875422358513
14,0.9863445162773132,0.05222180485725403,0.001,0.9913180470466614,0.029334431514143944
15,0.9871477484703064,0.053002554923295975,0.001,0.9941208958625793,0.018986394628882408
16,0.9902070164680481,0.0363168902695179,0.001,0.9881049990653992,0.04016105830669403
17,0.9899848103523254,0.038215167820453644,0.001,0.9914547204971313,0.03252778574824333
18,0.9928048253059387,0.027733560651540756,0.001,0.9923434257507324,0.02493451163172722
19,0.992377519607544,0.029780855402350426,0.001,0.9942575693130493,0.020275801420211792
20,0.9902753829956055,0.040968555957078934,0.001,0.995077908039093,0.015989085659384727
21,0.9953513741493225,0.018037376925349236,0.001,0.990702748298645,0.03350087255239487
22,0.9928902983665466,0.026965685188770294,0.001,0.994941234588623,0.01838071644306183
23,0.9958640933036804,0.014502833597362041,0.001,0.9943259358406067,0.02218698523938656
24,0.9942062497138977,0.021562034264206886,0.001,0.9955564737319946,0.015725942328572273
